refrenc,ID,CVE_ID,repo,owner,hash,language
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,43,CVE-2018-13504,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/VenusADLab/EtherTokens/blob/master/CarbonExchangeCoinToken/CarbonExchangeCoinToken.md,44,CVE-2018-13075,EtherTokens,VenusADLab,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/MiningToken,45,CVE-2018-13602,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,46,CVE-2018-13602,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/SmartHomeCoin,47,CVE-2018-13512,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,48,CVE-2018-13512,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/safecomet/EtherTokens/blob/master/PFGc%20(PFGc)/PFGc%20(PFGc).md,49,CVE-2018-13328,EtherTokens,safecomet,,NULL
https://github.com/VenusADLab/EtherTokens/blob/master/CCindexToken/CCindexToken.md,50,CVE-2018-13071,EtherTokens,VenusADLab,,NULL
https://github.com/VenusADLab/EtherTokens/blob/master/GZSToken/GZSToken.md,51,CVE-2018-13081,EtherTokens,VenusADLab,,NULL
https://github.com/VenusADLab/EtherTokens/blob/master/ModiTokenERC20/ModiTokenERC20.md,52,CVE-2018-13082,EtherTokens,VenusADLab,,NULL
https://github.com/VenusADLab/EtherTokens/blob/master/PlazaToken/PlazaToken.md,53,CVE-2018-13083,EtherTokens,VenusADLab,,NULL
https://github.com/VenusADLab/EtherTokens/blob/master/GoodTimeCoin/GoodTimeCoin.md,54,CVE-2018-13084,EtherTokens,VenusADLab,,NULL
https://github.com/VenusADLab/EtherTokens/blob/master/MyAdvancedToken/MyAdvancedToken.md,55,CVE-2018-13087,EtherTokens,VenusADLab,,NULL
https://github.com/VenusADLab/EtherTokens/blob/master/TokenERC20/TokenERC20.md,56,CVE-2018-13088,EtherTokens,VenusADLab,,NULL
https://github.com/hellowuzekai/blockchains/blob/master/overflow1.md,57,CVE-2018-14086,blockchains,hellowuzekai,,NULL
https://github.com/hellowuzekai/blockchains/blob/master/README.md,58,CVE-2018-14084,blockchains,hellowuzekai,,NULL
https://github.com/hellowuzekai/blockchains/blob/master/overflow2.md,59,CVE-2018-14087,blockchains,hellowuzekai,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/SlidebitsToken,60,CVE-2018-13479,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,61,CVE-2018-13479,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/KMCToken,62,CVE-2018-13495,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,63,CVE-2018-13495,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/Ohni,64,CVE-2018-13473,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,65,CVE-2018-13473,EtherTokens,BlockChainsSecurity,,NULL
